X,Y,Z
-49.63899255836365,8.752693683226227,-21.395548703382467
-48.257043850555014,9.380219101743325,-20.867290723693866
-109.72648807055252,23.32308502840336,-47.61666932693163
-92.21486954508188,21.289480126752824,-40.17250859463642
-104.57778150322065,26.074169403968522,-45.749593016924265
-104.1067967986112,27.89533212877886,-45.749593016924265
-112.23298185622038,32.1822896772232,-49.55994246662665
-105.15199367850357,32.148190684065646,-46.67379610154485
-104.57491523050962,33.97844969027911,-46.67379610154485
-132.16666659801965,45.50863286614704,-59.33402363636338
-131.35230181734804,47.80832806386509,-59.33402363636338
-131.80945181206562,50.59690802838572,-59.93034048768481
-129.60379895648438,52.363333746286806,-59.33402363636338
-128.67019348720189,54.617256732134294,-59.33402363636338
-127.69739383052703,56.854542772491925,-59.33402363636338
-127.9589087257553,59.66821906797617,-59.93034048768481
-126.89806595361028,61.89232219155575,-59.93034048768481
-124.54685212759709,63.45979081343007,-59.33402363636338
-123.42035697706086,65.62376786372987,-59.33402363636338
-122.25626679018957,67.76775527862667,-59.33402363636338
-121.05493616013095,69.89109997878458,-59.33402363636338
-119.81673102383246,71.99315517283866,-59.33402363636338
-119.73339574400285,74.81772940045808,-59.93034048768481
-118.40941034567781,76.89597018452304,-59.93034048768481
-115.88469573922656,78.1652142478016,-59.33402363636338
-114.50287485045536,80.17577611697186,-59.33402363636338
-113.08617527679047,82.16191566805672,-59.33402363636338
-111.6350285586459,84.12302790370872,-59.33402363636338
-110.14987672936954,86.05851545014318,-59.33402363636338
-108.63117218059561,87.96778873910398,-59.33402363636338
-107.61611513789464,90.3006425209391,-59.63143666751285
-62.71892466897205,54.520729424832396,-35.27529624556722
-73.2018843608186,65.91127272870388,-41.8119797716339
-78.4316402319582,73.1386877468226,-45.521415969826045
-93.28544234169502,90.08470452228744,-55.04675394630053
-98.84094147917106,98.84094147917108,-59.33402363636338
-97.58759540431382,101.05491329109624,-59.63143666751285
-96.2893259382566,103.25766024555443,-59.93034048768481
-93.53254821578341,103.87841859231393,-59.33402363636338
-92.62702870929783,106.55520748192968,-59.93034048768481
-89.85026618745174,107.0793775244417,-59.33402363636338
-88.85187971395678,109.72293361155964,-59.93034048768481
-86.92341790943259,111.25690139480024,-59.93034048768481
-84.1230279037087,111.6350285586459,-59.33402363636338
-82.987656648476,114.22271023323175,-59.93034048768481
-80.98155606305026,115.65364787432004,-59.93034048768481
-78.95078771116181,117.04935629390377,-59.93034048768481
-76.89597018452304,118.40941034567781,-59.93034048768481
-74.07328055441376,118.54202855057335,-59.33402363636338
-72.35402236487663,120.41731488739468,-59.63143666751285
-70.59351721126764,122.27155849490359,-59.93034048768481
-68.44883254209586,123.48496269851762,-59.93034048768481
-65.62376786372987,123.42035697706088,-59.33402363636338
-63.45979081343006,124.5468521275971,-59.33402363636338
-61.276483296099705,125.63540910046282,-59.33402363636338
-59.07451036835874,126.68569631065898,-59.33402363636338
-56.85454277249193,127.69739383052703,-59.33402363636338
-54.6172567321343,128.67019348720189,-59.33402363636338
-52.36333374628681,129.60379895648438,-59.33402363636338
-50.09346038172521,130.49792585310453,-59.33402363636338
